cohort,n,age_mean,age_median,age_std,male_pct,median_survival_mo,mortality_pct,ks_age_p,chi2_sex_p
EMR (Internal),2341,63.32336608287057,64.0,10.997867156770777,59.50448526270824,NA,NA,,
SEER (External),124860,68.07708233221207,72.0,12.609463166445556,50.32635768802608,6.0,92.5630491018156,3.408413339916083e-146,1.6503139833153396e-18
