MissingRate,Repeats,Mean Mean,Mean CI Low,Mean CI High,Median Mean,Median CI Low,Median CI High,ClinDiff-Lite Mean,ClinDiff-Lite CI Low,ClinDiff-Lite CI High,ClinDiff-Gated Mean,ClinDiff-Gated CI Low,ClinDiff-Gated CI High,Mean Liver Avg Mean,Mean Liver Avg CI Low,Mean Liver Avg CI High,ClinDiff-Lite Liver Avg Mean,ClinDiff-Lite Liver Avg CI Low,ClinDiff-Lite Liver Avg CI High,ClinDiff-Gated Liver Avg Mean,ClinDiff-Gated Liver Avg CI Low,ClinDiff-Gated Liver Avg CI High,Delta MeanMinusClinDiff-Lite Mean,Delta MeanMinusClinDiff-Lite Bootstrap CI Low,Delta MeanMinusClinDiff-Lite Bootstrap CI High,Delta MeanMinusClinDiff-Lite Permutation P,Delta MeanMinusClinDiff-Gated Mean,Delta MeanMinusClinDiff-Gated Bootstrap CI Low,Delta MeanMinusClinDiff-Gated Bootstrap CI High,Delta MeanMinusClinDiff-Gated Permutation P,Delta ClinDiff-LiteMinusClinDiff-Gated Mean,Delta ClinDiff-LiteMinusClinDiff-Gated Bootstrap CI Low,Delta ClinDiff-LiteMinusClinDiff-Gated Bootstrap CI High,Delta ClinDiff-LiteMinusClinDiff-Gated Permutation P,Delta MeanLiverAvgMinusClinDiff-LiteLiverAvg Mean,Delta MeanLiverAvgMinusClinDiff-LiteLiverAvg Bootstrap CI Low,Delta MeanLiverAvgMinusClinDiff-LiteLiverAvg Bootstrap CI High,Delta MeanLiverAvgMinusClinDiff-LiteLiverAvg Permutation P,Delta MeanLiverAvgMinusClinDiff-GatedLiverAvg Mean,Delta MeanLiverAvgMinusClinDiff-GatedLiverAvg Bootstrap CI Low,Delta MeanLiverAvgMinusClinDiff-GatedLiverAvg Bootstrap CI High,Delta MeanLiverAvgMinusClinDiff-GatedLiverAvg Permutation P,Delta ClinDiff-LiteLiverAvgMinusClinDiff-GatedLiverAvg Mean,Delta ClinDiff-LiteLiverAvgMinusClinDiff-GatedLiverAvg Bootstrap CI Low,Delta ClinDiff-LiteLiverAvgMinusClinDiff-GatedLiverAvg Bootstrap CI High,Delta ClinDiff-LiteLiverAvgMinusClinDiff-GatedLiverAvg Permutation P,Grouped Usage Rate Mean
20%,100,184.01127346160044,149.03928350877234,224.4722918474147,199.6463222495206,160.87872569220954,239.835376836542,180.59779088162227,145.06373233976043,221.56662085231739,179.85184187822307,145.15097408003265,221.67961544853756,184.25320972997932,157.31995481638288,217.3559629420178,173.84320829496065,145.75119765641855,209.01885129683123,173.0897324869749,145.27677136981677,209.81772740644598,3.4134825799781208,2.825485587163016,4.024962061530388,9.999000099990002e-05,4.159431583377374,3.4805252715525272,4.824451997016765,9.999000099990002e-05,0.7459490033992534,0.2354582821730181,1.2809703092774631,0.007799220077992201,10.41000143501865,9.828822999838861,11.004927871638674,9.999000099990002e-05,11.163477243004383,10.50794455160568,11.784527256522457,9.999000099990002e-05,0.7534758079857354,0.3403393786094825,1.180458763980693,0.0005999400059994001,0.7013293566254793
40%,100,182.604963483111,156.78266626785253,208.62534921935645,197.93568916028,170.27978837127958,223.6101506296099,181.67330300567377,156.14671077982283,207.47656921314376,180.36406606721891,153.86628913605844,207.0722651040513,183.12168989571413,162.74347704689868,201.94060997467716,177.16065688694084,156.65963205914167,197.75334755784962,176.03071808572128,154.94699952892358,196.94438963354688,0.9316604774371788,0.4556168810465376,1.3846016560462702,9.999000099990002e-05,2.2408974158920807,1.605758884443468,2.8699220451371334,9.999000099990002e-05,1.3092369384549019,0.8975440508475534,1.678826556721058,9.999000099990002e-05,5.9610330087732715,5.528919821231175,6.380387665002978,9.999000099990002e-05,7.090971809992851,6.539171118967144,7.627387813704868,9.999000099990002e-05,1.1299388012195803,0.8060964286712552,1.4222139833884404,9.999000099990002e-05,0.48861525351512564
60%,100,183.98189340314116,165.65131289340064,198.63518274294154,199.06462580895476,179.70664267063344,214.51107829157763,183.44042132369287,165.03243765595346,198.43224712974168,183.42789421622322,165.03243765595346,198.40491349094,184.8033134498805,166.33045734084354,195.88066641950928,182.3366312506346,163.33548489914466,195.16005343579843,182.25660199267418,163.15338475376745,194.76731632719972,0.5414720794483111,0.41295158041336777,0.6449774463465354,9.999000099990002e-05,0.5539991869180071,0.4265391338167452,0.6573050282085494,9.999000099990002e-05,0.012527107469695977,0.008643634230868684,0.0166723671361115,9.999000099990002e-05,2.466682199245958,2.162684270396972,2.768068792343354,9.999000099990002e-05,2.546711457206377,2.2568675655650057,2.8347232407482137,9.999000099990002e-05,0.08002925796041893,0.05470896517476129,0.10690510802123361,9.999000099990002e-05,0.0
