MissingRate,Repeat,Seed,Mean,Median,ClinDiff-Lite,ClinDiff-Gated,Mean Liver Avg,ClinDiff-Lite Liver Avg,ClinDiff-Gated Liver Avg,Grouped Usage Rate,Masked Observed Cells,Masked Headline Cells,Masked Liver Cells
20%,21,2246,202.0092175649582,220.0445569765707,198.22357793093437,199.12194738262335,208.07587991302395,197.56013126980682,197.94603223198808,0.7085641244141457,2407,1964,1154
20%,22,2247,211.96982632721196,226.3202281033505,206.4931432721657,207.54946520764403,199.88025421916925,187.64132739543774,188.26076177187528,0.7106945036216447,2348,1924,1118
20%,23,2248,178.8654576661023,194.19351217187275,174.18659855284716,175.31570534050326,178.39371967724665,167.14963383679037,167.67112991131185,0.697912228376651,2467,2013,1167
20%,24,2249,179.76522405807052,195.22450547175285,173.14136453820157,173.65884942489126,195.53682773527706,182.92169697112232,182.69812369815835,0.6953557733276523,2384,1961,1125
20%,25,2250,166.0364550022114,180.57096429786768,168.13661387503387,168.34972490453012,166.39666044538617,160.25236982193346,160.29290500049163,0.6927993182786536,2454,2029,1157
20%,26,2251,216.3591294066842,230.73750205972917,214.35035942832786,210.74248866846315,204.14284921721332,191.76485249837287,188.44990002165102,0.708138048572646,2424,1996,1125
20%,27,2252,172.06681286720888,188.14352570543147,169.59728502130338,170.56894715942323,171.34971374166253,160.83113712541783,161.44229022521571,0.7043033659991479,2402,1967,1140
20%,28,2253,182.31269969263485,197.76601260033743,180.70432843523074,177.062589284762,181.05579733656222,173.2832783086312,170.4815090188495,0.6893907115466553,2602,2145,1227
20%,29,2254,212.75039388761408,226.4969710314132,211.23416964352674,208.30630585169976,198.2307043504626,188.23773146741394,186.39556047150037,0.7030251384746485,2429,1986,1130
20%,30,2255,241.85214616334568,260.8755233448448,238.05310143838133,239.72855181481242,221.01196457845103,210.85841499734627,211.804562522559,0.6966340008521517,2435,2015,1176
20%,31,2256,194.04609905065286,211.11674333773362,183.11856128565276,183.81928851914222,191.1331460196824,174.90604363798357,175.4033015140808,0.6945036216446527,2394,1968,1135
20%,32,2257,161.4198614544017,178.66961942607128,162.12155374328037,162.5479049570184,161.96699574790577,154.61487593118525,154.993780635173,0.6953557733276523,2552,2100,1180
20%,33,2258,215.03807013394172,228.43876347248712,210.53279147506964,211.38940035415632,202.4385393828222,188.62463038390842,189.1806338965614,0.7051555176821475,2399,1974,1123
20%,34,2259,172.65719113049286,185.27316327777945,169.26787456980603,169.82234312909645,172.71270521125078,163.65373820333852,164.2048962830642,0.7034512143161483,2466,2032,1145
20%,35,2260,177.6607072474553,191.8144592775382,175.7526124205558,169.39765907123726,183.02133149953502,174.47560025290514,169.5140935326439,0.6945036216446527,2503,2072,1180
20%,36,2261,164.38503945995745,178.30941841778215,161.74636385538128,162.274677426255,176.34030500343306,167.70407305722975,167.98402827523006,0.7034512143161483,2422,1993,1148
20%,37,2262,158.36292291210793,170.77256696627504,154.76077301241676,155.1038746124968,161.35036803837784,150.1982119050336,150.24251096441586,0.7068598210481466,2376,1961,1110
20%,38,2263,186.49150867830434,205.95036475915154,184.68660133268335,182.84594355114467,186.34984642608018,178.22400652962838,176.78143545781424,0.7034512143161483,2379,1974,1141
